Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
United Airlines,1063,Mexico City (MEX),Departed,8:35 AM,8:34 AM,Term C - C102
United Airlines,4958,"Rochester, NY (ROC)",Scheduled,8:35 AM,8:35 AM,Term C - C130Z
United Airlines,4915,"Albany, NY (ALB)",Scheduled,8:35 AM,8:35 AM,Term C - C130Y
United Airlines,4172,"Grand Rapids, MI (GRR)",Delayed,8:20 AM,8:40 AM,Term A - A23A
Mountain Air Cargo,8311,"Baltimore, MD (BWI)",Scheduled,8:45 AM,8:45 AM,
United Airlines,3423,"Minneapolis, MN (MSP)",Scheduled,8:45 AM,8:45 AM,Term C - C82
United Airlines,3430,"Raleigh/Durham, NC (RDU)",Scheduled,8:45 AM,8:45 AM,Term C - C70
United Airlines,3487,"Charlotte, NC (CLT)",Scheduled,8:45 AM,8:45 AM,Term C - C88
W8,245,St George (BDA),Scheduled,8:45 AM,8:45 AM,
United Parcel Service,235,London (STN),Scheduled,8:49 AM,8:49 AM,
Air Canada,2422,Aruba (AUA),Scheduled,8:50 AM,8:50 AM,Term C - C107
United Airlines,1040,Aruba (AUA),Scheduled,8:50 AM,8:50 AM,Term C - C107
Porter Airlines,122,Toronto (YTZ),Scheduled,8:55 AM,8:55 AM,Term B - B51
United Airlines,1627,Montego Bay (MBJ),Delayed,8:35 AM,8:55 AM,Term C - C134
United Airlines,1514,Punta Cana (PUJ),Scheduled,8:55 AM,8:55 AM,Term C - C72
United Airlines,3807,"Hartford, CT (BDL)",Scheduled,8:55 AM,8:55 AM,Term A - A20
United Airlines,4059,"Milwaukee, WI (MKE)",Scheduled,8:55 AM,8:55 AM,Term A - A23
United Airlines,4348,"St Louis, MO (STL)",Scheduled,8:55 AM,8:55 AM,Term A - A24
United Airlines,1470,Santo Domingo (SDQ),Scheduled,8:59 AM,8:59 AM,Term C - C113
Air Canada,5667,"New Orleans, LA (MSY)",Delayed,8:25 AM,9:00 AM,Term C - C109
Air New Zealand,9126,"San Francisco, CA (SFO)",Scheduled,9:00 AM,9:00 AM,Term C - C110
American Airlines,1134,"Dallas-Fort Worth, TX (DFW)",Scheduled,9:00 AM,9:00 AM,Term A - 35
Asiana Airlines,9524,"San Francisco, CA (SFO)",Scheduled,9:00 AM,9:00 AM,Term C - C110
Azul Airlines,7046,"Las Vegas, NV (LAS)",Delayed,8:42 AM,9:00 AM,Term C - C137
FedEx Air,649,"Memphis, TN (MEM)",Scheduled,9:00 AM,9:00 AM,
Scandinavian Airlines,6856,"New Orleans, LA (MSY)",Delayed,8:25 AM,9:00 AM,Term C - C109
United Airlines,1776,"New Orleans, LA (MSY)",Delayed,8:25 AM,9:00 AM,Term C - C109
United Airlines,1909,"Las Vegas, NV (LAS)",Delayed,8:42 AM,9:00 AM,Term C - C137
United Airlines,637,"San Francisco, CA (SFO)",Scheduled,9:00 AM,9:00 AM,Term C - C110
Air France,2722,"Cincinnati, OH (CVG)",Scheduled,9:02 AM,9:02 AM,Term TB - 47
Delta Air Lines,6222,"Cincinnati, OH (CVG)",Scheduled,9:02 AM,9:02 AM,Term TB - 47
JetBlue Airways,893,Santiago (STI),Scheduled,9:02 AM,9:02 AM,Term TA - 17
Air Canada,5530,"Knoxville, TN (TYS)",Scheduled,9:05 AM,9:05 AM,Term C - C103
Air New Zealand,9530,"Los Angeles, CA (LAX)",Scheduled,9:05 AM,9:05 AM,Term C - C75
Azul Airlines,7042,"Los Angeles, CA (LAX)",Scheduled,9:05 AM,9:05 AM,Term C - C75
United Airlines,1241,"Los Angeles, CA (LAX)",Scheduled,9:05 AM,9:05 AM,Term C - C75
United Airlines,1465,Providenciales (PLS),Scheduled,9:05 AM,9:05 AM,Term C - C131
United Airlines,2406,"Knoxville, TN (TYS)",Scheduled,9:05 AM,9:05 AM,Term C - C103
Air Canada,3171,"Louisville, KY (SDF)",Scheduled,9:10 AM,9:10 AM,Term A - A28
United Airlines,4010,"Louisville, KY (SDF)",Scheduled,9:10 AM,9:10 AM,Term A - A28
AeroMexico,5124,"Atlanta, GA (ATL)",Delayed,8:30 AM,9:15 AM,Term TB - 44
Air Canada,2876,"Jacksonville, FL (JAX)",Scheduled,9:15 AM,9:15 AM,Term C - C84
Delta Air Lines,537,"Atlanta, GA (ATL)",Delayed,8:30 AM,9:15 AM,Term TB - 44
United Airlines,3436,"Jacksonville, FL (JAX)",Scheduled,9:15 AM,9:15 AM,Term C - C84
Virgin Atlantic,4499,"Atlanta, GA (ATL)",Delayed,8:30 AM,9:15 AM,Term TB - 44
United Airlines,1050,Cancun (CUN),Scheduled,9:20 AM,9:20 AM,Term C - C128
United Airlines,1926,"Atlanta, GA (ATL)",Scheduled,9:30 AM,9:30 AM,Term C - C80
United Airlines,3767,"Columbus, OH (CMH)",Scheduled,9:30 AM,9:30 AM,Term A - A21
Alaska Airlines,791,"Seattle, WA (SEA)",Scheduled,9:35 AM,9:35 AM,Term A - A30
Korean Air,6271,"Seattle, WA (SEA)",Scheduled,9:35 AM,9:35 AM,Term A - A30
AeroMexico,5039,"Atlanta, GA (ATL)",Scheduled,9:40 AM,9:40 AM,Term TB - 46B
Delta Air Lines,1089,"Atlanta, GA (ATL)",Scheduled,9:40 AM,9:40 AM,Term TB - 46B
United Airlines,732,"Orlando, FL (MCO)",Scheduled,9:40 AM,9:40 AM,Term C - C133
United Airlines,3425,"Pittsburgh, PA (PIT)",Scheduled,9:40 AM,9:40 AM,Term A - A25A
United Airlines,4458,"Indianapolis, IN (IND)",Scheduled,9:40 AM,9:40 AM,Term A - A22
Virgin Atlantic,4459,"Atlanta, GA (ATL)",Scheduled,9:40 AM,9:40 AM,Term TB - 46B
Air China,7361,"Los Angeles, CA (LAX)",Scheduled,9:45 AM,9:45 AM,Term C - C120
