Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
Etihad Airways,3439,"Miami, FL (MIA)",Scheduled,12:59 PM,,Term 8 - 35
Finnair,4072,"Charlotte, NC (CLT)",Scheduled,12:59 PM,,Term 8 - 40
Hawaiian Airlines,2094,"Nantucket, MA (ACK)",Scheduled,12:59 PM,12:59 PM,Term 5 - 01
Japan Airlines,7470,"Miami, FL (MIA)",Scheduled,12:59 PM,,Term 8 - 35
Japan Airlines,7458,"Charlotte, NC (CLT)",Scheduled,12:59 PM,,Term 8 - 40
JetBlue Airways,1791,"Nantucket, MA (ACK)",Scheduled,12:59 PM,12:59 PM,Term 5 - 01
LAN Airlines,6889,"Miami, FL (MIA)",Scheduled,12:59 PM,,Term 8 - 35
LAN Airlines,6583,"Charlotte, NC (CLT)",Scheduled,12:59 PM,,Term 8 - 40
LAN Argentina,6413,"Miami, FL (MIA)",Scheduled,12:59 PM,,Term 8 - 35
Malaysia Airlines,9471,"Miami, FL (MIA)",Scheduled,12:59 PM,,Term 8 - 35
TAM Brazilian Airlines,2441,"Miami, FL (MIA)",Scheduled,12:59 PM,,Term 8 - 35
Aerolineas Argentinas,7026,"Boston, MA (BOS)",Scheduled,1:00 PM,,Term 4 - B45
Air France,2554,"Boston, MA (BOS)",Scheduled,1:00 PM,,Term 4 - B45
Alaska Airlines,1411,"Los Angeles, CA (LAX)",Scheduled,1:00 PM,,Term T4 - A2
Alitalia,3523,"Boston, MA (BOS)",Scheduled,1:00 PM,,Term 4 - B45
Delta Air Lines,4073,"Boston, MA (BOS)",Scheduled,1:00 PM,,Term 4 - B45
Hawaiian Airlines,2549,"Los Angeles, CA (LAX)",Scheduled,1:00 PM,,Term T4 - A2
Singapore Airlines,1329,"Los Angeles, CA (LAX)",Scheduled,1:00 PM,,Term T4 - A2
Virgin America,411,"Los Angeles, CA (LAX)",Scheduled,1:00 PM,,Term T4 - A2
Virgin Atlantic,4877,"Boston, MA (BOS)",Scheduled,1:00 PM,,Term 4 - B45
WestJet Airlines,7659,"Boston, MA (BOS)",Scheduled,1:00 PM,,Term 4 - B45
American Airlines,8402,Tokyo (HND),Delayed,1:10 PM,6:40 PM,Term 1 - 3
British Airways,4605,Tokyo (HND),Delayed,1:10 PM,6:40 PM,Term 1 - 3
Japan Airlines,5,Tokyo (HND),Delayed,1:10 PM,6:40 PM,Term 1 - 3
LAN Airlines,7464,Tokyo (HND),Delayed,1:10 PM,6:40 PM,Term 1 - 3
Malaysia Airlines,9145,Tokyo (HND),Delayed,1:10 PM,6:40 PM,Term 1 - 3
TAM Brazilian Airlines,8338,Tokyo (HND),Delayed,1:10 PM,6:40 PM,Term 1 - 3
EVA Airways,29,Taipei (TPE),Scheduled,1:15 PM,1:15 PM,Term 1
Singapore Airlines,5833,Taipei (TPE),Scheduled,1:15 PM,1:15 PM,Term 1
Thai Airways,6341,Taipei (TPE),Scheduled,1:15 PM,1:15 PM,Term 1
Azul Airlines,7383,"Orlando, FL (MCO)",Scheduled,1:19 PM,1:19 PM,Term 5 - 08
Emirates,6743,"Orlando, FL (MCO)",Scheduled,1:19 PM,1:19 PM,Term 5 - 08
Etihad Airways,8288,"Orlando, FL (MCO)",Scheduled,1:19 PM,1:19 PM,Term 5 - 08
Hawaiian Airlines,2070,"Orlando, FL (MCO)",Scheduled,1:19 PM,1:19 PM,Term 5 - 08
Japan Airlines,5926,"Orlando, FL (MCO)",Scheduled,1:19 PM,1:19 PM,Term 5 - 08
JetBlue Airways,1089,"Orlando, FL (MCO)",Scheduled,1:19 PM,1:19 PM,Term 5 - 08
Singapore Airlines,1479,"Orlando, FL (MCO)",Scheduled,1:19 PM,1:19 PM,Term 5 - 08
South African Airways,7392,"Orlando, FL (MCO)",Scheduled,1:19 PM,1:19 PM,Term 5 - 08
El Al Israel Airlines,8760,"Tampa, FL (TPA)",Scheduled,1:21 PM,1:21 PM,Term 5 - 27
Emirates,6767,"Tampa, FL (TPA)",Scheduled,1:21 PM,1:21 PM,Term 5 - 27
Etihad Airways,8326,"Tampa, FL (TPA)",Scheduled,1:21 PM,1:21 PM,Term 5 - 27
Hawaiian Airlines,2074,"Tampa, FL (TPA)",Scheduled,1:21 PM,1:21 PM,Term 5 - 27
JetBlue Airways,325,"Tampa, FL (TPA)",Scheduled,1:21 PM,1:21 PM,Term 5 - 27
Qatar Airways,4163,"Tampa, FL (TPA)",Scheduled,1:21 PM,1:21 PM,Term 5 - 27
Singapore Airlines,1471,"Tampa, FL (TPA)",Scheduled,1:21 PM,1:21 PM,Term 5 - 27
South African Airways,7386,"Tampa, FL (TPA)",Scheduled,1:21 PM,1:21 PM,Term 5 - 27
Turkish Airlines,8511,"Tampa, FL (TPA)",Scheduled,1:21 PM,1:21 PM,Term 5 - 27
Etihad Airways,8329,"Los Angeles, CA (LAX)",Scheduled,1:25 PM,1:25 PM,Term 5 - 22
Hawaiian Airlines,2307,"Los Angeles, CA (LAX)",Scheduled,1:25 PM,1:25 PM,Term 5 - 22
JetBlue Airways,1523,"Los Angeles, CA (LAX)",Scheduled,1:25 PM,1:25 PM,Term 5 - 22
Singapore Airlines,1498,"Los Angeles, CA (LAX)",Scheduled,1:25 PM,1:25 PM,Term 5 - 22
American Airlines,1151,"Phoenix, AZ (PHX)",Scheduled,1:30 PM,,Term 8 - 38
Bombardier Business Jet Solutions,525,Quebec (YQB),Scheduled,1:30 PM,1:30 PM,
Air France,2692,"Cleveland, OH (CLE)",Scheduled,1:35 PM,,Term 2 - C61
Alitalia,3097,"Cleveland, OH (CLE)",Scheduled,1:35 PM,,Term 2 - C61
Delta Air Lines,4039,"Cleveland, OH (CLE)",Scheduled,1:35 PM,,Term 2 - C61
KLM Royal Dutch Airlines,6714,"Cleveland, OH (CLE)",Scheduled,1:35 PM,,Term 2 - C61
Korean Air,7317,"Cleveland, OH (CLE)",Scheduled,1:35 PM,,Term 2 - C61
